,Image Name,Prediction
225,WWNP-HQ_20190219_191408.wav at 0.376275.png,2
226,WWNP-HQ_20190219_183456.wav at 8.004956.png,2
227,WWNP-HQ_20190219_191443.wav at 2.521003.png,2
228,WWNP-HQ_20190218_222404.wav at 4.750952.png,1
229,WWNP-HQ_20190219_183456.wav at 11.905895.png,2
230,WWNP-HQ_20190219_200709.wav at 4.902223.png,2
231,WWNP-HQ_20190219_191227.wav at 5.43823.png,2
232,WWNP-HQ_20190219_184907.wav at 5.385023.png,2
233,WWNP-HQ_20190219_184700.wav at 4.828005.png,1
234,WWNP-HQ_20190219_212516.wav at 5.818089.png,2
235,WWNP-HQ_20190219_223120.wav at 11.781592999999999.png,1
236,WWNP-HQ_20190219_184647.wav at 3.530499.png,0
237,WWNP-HQ_20190219_191227.wav at 1.8232709999999999.png,0
238,WWNP-HQ_20190218_190818.wav at 4.257058.png,1
239,WWNP-HQ_20190219_183612.wav at 3.479243.png,0
240,WWNP-HQ_20190219_224025.wav at 9.972937.png,1
241,WWNP-HQ_20190219_213625.wav at 2.9643479999999998.png,0
242,WWNP-HQ_20190219_184907.wav at 7.570458.png,2
243,WWNP-HQ_20190219_191408.wav at 1.8365369999999999.png,0
244,WWNP-HQ_20190219_213127.wav at 4.170314.png,2
245,WWNP-HQ_20190219_185133.wav at 2.911156.png,1
246,WWNP-HQ_20190219_183456.wav at 5.635364.png,2
247,WWNP-HQ_20190219_191303.wav at 5.469919.png,0
248,WWNP-HQ_20190218_190818.wav at 3.9105879999999997.png,1
249,WWNP-HQ_20190219_183456.wav at 6.943067999999999.png,2
250,WWNP-HQ_20190219_224458.wav at 8.458387.png,2
251,WWNP-HQ_20190218_222404.wav at 2.8373209999999998.png,2
252,WWNP-HQ_20190219_190644.wav at 7.917725.png,0
253,WWNP-HQ_20190219_183612.wav at 5.0728480000000005.png,2
254,WWNP-HQ_20190218_190818.wav at 2.231445.png,1
255,WWNP-HQ_20190218_222404.wav at 6.583672999999999.png,2
256,WWNP-HQ_20190219_184700.wav at 2.9737669999999996.png,2
257,WWNP-HQ_20190219_183612.wav at 3.030568.png,0
258,WWNP-HQ_20190219_183728.wav at 1.0685850000000001.png,2
259,WWNP-HQ_20190218_190818.wav at 4.818505.png,1
260,WWNP-HQ_20190218_222404.wav at 7.326395.png,2
261,WWNP-HQ_20190219_183612.wav at 3.786145.png,0
262,WWNP-HQ_20190219_200726.wav at 5.717258.png,2
263,WWNP-HQ_20190219_224458.wav at 9.363067.png,0
264,WWNP-HQ_20190219_215105.wav at 1.005906.png,2
265,WWNP-HQ_20190219_183456.wav at 2.962483.png,2
266,WWNP-HQ_20190219_203055.wav at 4.9938199999999995.png,1
267,WWNP-HQ_20190219_213127.wav at 5.300148.png,2
268,WWNP-HQ_20190219_213743.wav at 4.206665.png,1
269,WWNP-HQ_20190218_201257.wav at 10.16922.png,1
270,WWNP-HQ_20190219_183456.wav at 6.781406.png,2
271,WWNP-HQ_20190219_215105.wav at 1.578684.png,2
272,WWNP-HQ_20190219_190644.wav at 8.140997.png,0
273,WWNP-HQ_20190219_183456.wav at 9.550285.png,2
274,WWNP-HQ_20190219_223411.wav at 4.9645790000000005.png,2
275,WWNP-HQ_20190219_200709.wav at 4.713831.png,2
276,WWNP-HQ_20190219_224458.wav at 8.018098.png,1
277,WWNP-HQ_20190219_213743.wav at 3.010139.png,2
278,WWNP-HQ_20190219_191408.wav at 1.9393259999999999.png,0
279,WWNP-HQ_20190219_183456.wav at 5.771868.png,2
280,WWNP-HQ_20190219_221556.wav at 0.348817.png,2
281,WWNP-HQ_20190219_221714.wav at 1.9241080000000002.png,1
282,WWNP-HQ_20190218_222404.wav at 7.447989999999999.png,2
283,WWNP-HQ_20190219_215105.wav at 2.835671.png,2
284,WWNP-HQ_20190218_190625.wav at 1.475355.png,2
285,WWNP-HQ_20190219_191659.wav at 2.9878400000000003.png,0
286,WWNP-HQ_20190219_223411.wav at 4.390184.png,2
287,WWNP-HQ_20190219_183456.wav at 8.722907000000001.png,2
288,WWNP-HQ_20190219_191227.wav at 1.9297400000000002.png,0
289,WWNP-HQ_20190219_191443.wav at 1.444165.png,0
290,WWNP-HQ_20190219_200726.wav at 3.3937190000000004.png,2
291,WWNP-HQ_20190219_191207.wav at 4.048783.png,0
292,WWNP-HQ_20190219_183456.wav at 7.667485000000001.png,2
293,WWNP-HQ_20190219_224458.wav at 10.746587.png,2
294,WWNP-HQ_20190219_183728.wav at 6.11596.png,2
295,WWNP-HQ_20190219_194130.wav at 6.191389.png,2
296,WWNP-HQ_20190219_224122.wav at 2.57381.png,1
297,WWNP-HQ_20190218_210037.wav at 3.90596.png,1
298,WWNP-HQ_20190219_202455.wav at 3.2982080000000003.png,1
299,WWNP-HQ_20190218_190818.wav at 3.443253.png,1
300,WWNP-HQ_20190219_200709.wav at 3.253943.png,2
301,WWNP-HQ_20190219_221714.wav at 6.134749.png,2
302,WWNP-HQ_20190218_210037.wav at 4.2142040000000005.png,1
303,WWNP-HQ_20190218_190818.wav at 5.091035.png,1
304,WWNP-HQ_20190219_202649.wav at 4.149473.png,1
305,WWNP-HQ_20190219_215847.wav at 7.2121759999999995.png,2
